stopword
yatkāraṇam
yena
hī
hina
yathā
yatas
yadyapi
yāt
avadhes
yāvati
yena prakāreṇa
sthāne
aha
eva
evam
kaccit
ku
kuvit
kūpat
ca
caṇ
cet
tatra
nakim
naha
nunam
net
bhūyas
makim
makir
yatra
yugapat
vā
śaśvat
sūpat
ha
hanta
hi
sarvam
sarve
sarvāṇi
sarvam
sarve
sarvāṇi
sarveṇa
sarvābhyām
sarvai
sarvesmai
sarvābhyām
sarvebhyaḥ
sarvasmāt
sarvābhyām
sarvebhyaḥ
sarvasya
sarvayoḥ
sarveṣām
sarvasmin
sarvayoḥ
sarveṣu
sarva
sarvau
sarvāṇi
sarvā
sarve
sarvāḥ
sarvām
sarve
sarvāḥ
sarvayā
sarvābhyām
sarvābhiḥ
sarvasai
sarvābhyām
sarvābhyaḥ
sarvasyāḥ
sarvābhyām
sarvābhyaḥ
sarvasyāḥ
sarvayoḥ
sarvāsām
sarvasyām
sarvayoḥ
sarvāsu
sarve
sarve
sarvāḥ
saḥ
sā
tat
tam
tām
tat
tena
tayā
tasmai
tasyai
tasmāt
tasyāḥ
tasya
tasyāḥ
tasmin
tasyām
te
tāḥ
tāni
tān
tāḥ
tāni
teḥ
tābhiḥ
tebhyaḥ
tābhyaḥ
tebhyaḥ
tābhyaḥ
teṣām
tāsām
teṣu
tāsu
te
te
tābhyām
tābhyām
tābhyām
tayoḥ
tayoḥ
te
te
tābhyām
tābhyām
tābhyām
tayoḥ
tayoḥ
tau
tau
tābhyām
tābhyām
tābhyām
tayoḥ
tayoḥ
tena
tasmai
tasmāt
tasya
tasmin
taiḥ
tebhyaḥ
tebhyaḥ
teṣām
teṣu
katamaḥ
katamau
katamāḥ
katamam
katamau
katamān
katamena
katamāmyām
katamaiḥ
katamāya
katamāmyām
kataman
katamamau
katamamaḥ
katamamam
katamamau
katamamaḥ
katamamā
katamanbhyām
katamanbhiḥ
katamame
katamanbhyām
katamanbhyaḥ
katamamaḥ
katamanbhyām
katamanbhyaḥ
katamamaḥ
katamamoḥ
katamamām
katamami
katamamoḥ
katamantsu
katamansu
katamemyaḥ
katamāt
katamāmyām
katamemyaḥ
katamasya
katamayoḥ
katamānām
katamāṇām
katame
katamayoḥ
katameṣu
katamā
katame
katamāḥ
katamām
katame
katamāḥ
katamayā
katamābhyām
katamābhiḥ
katamāyai
katamābhyām
katamābhyaḥ
katamāyāḥ
katamābhyām
katamābhyaḥ
katamāyāḥ
katamayoḥ
katamānām
katamāṇām
katamāyām
katamayoḥ
katamāsu
asti
staḥ
santi
asi
sthaḥ
stha
āmi
āvaḥ
āmaḥ
astu
stām
santu
edhi
stam
sta
asāni
asāva
asāma
āsīt
āstām
āsan
āsīḥ
āstam
āsta
āsam
āsva
āsma
syāt
syātām
syuḥ
syāḥ
syātam
syāta
syām
syāva
syāma
bhaviṣyati
bhaviṣyataḥ
bhaviṣyanti
bhaviṣyasi
bhaviṣyathaḥ
bhaviṣyatha
bhaviṣyāmi
bhaviṣyāvaḥ
bhaviṣyāmaḥ
babhūva
babhūvatuḥ
babhūvuḥ
babhūvitha
babhūvathaḥ
babhūva
babhūva
babhūviva
babhūvima
svayan
svayamau
svayamaḥ
svayan
svayamau
svayamaḥ
svayamam
svayamau
svayamaḥ
svayamā
svayanbhyām
svayanbhiḥ
svayame
svayanbhyām
svayanbhyaḥ
svayamaḥ
svayanbhyām
svayanbhyaḥ
svayamaḥ
svayamoḥ
svayamām
svayami
svayamoḥ
svayaṃsu
svayan
svayamau
svayamaḥ
svayan
svayamau
svayamaḥ
svayamam
svayamau
svayamaḥ
svayamā
svayanbhyām
svayanbhiḥ
svayame
svayanbhyām
svayanbhyaḥ
svayamaḥ
svayanbhyām
svayanbhyaḥ
svayamaḥ
svayamoḥ
svayamām
svayami
svayamoḥ
svayaṃsu
svayan
svayamī
svayami
svayan
svayamī
svayami
svayan
svayamī
svayami
svayamā
svayanbhyām
svayanbhiḥ
svayame
svayanbhyām
svayanbhyaḥ
svayamaḥ
svayanbhyām
svayanbhyaḥ
svayamaḥ
svayamoḥ
svayamām
svayami
svayamoḥ
svayaṃsu
tadīyaḥ
tadīyau
tadīyāḥ
tadīya
tadīyau
tadīyāḥ
tadīyam
tadīyau
tadīyān
tadīyena
tadīyābhyām
tadīyaiḥ
tadīyāya
tadīyābhyām
tadīyebhyaḥ
tadīyāt
tadīyābhyām
tadīyebhyaḥ
tadīyasya
tadīyayoḥ
tadīyānām
tadīye
tadīyayoḥ
tadīyeṣu
tadīyā
tadīye
tadīyāḥ
tadīye
tadīye
tadīyāḥ
tadīyām
tadīye
tadīyāḥ
tadīyayā
tadīyābhyām
tadīyābhiḥ
tadīyāyai
tadīyābhyām
tadīyābhyaḥ
tadīyāyāḥ
tadīyābhyām
tadīyābhyaḥ
tadīyāyāḥ
tadīyayoḥ
tadīyānām
tadīyāyām
tadīyayoḥ
tadīyāsu
tadīyam
tadīye
tadīyāni
tadīya
tadīye
tadīyāni
tadīyam
tadīye
tadīyāni
tadīyena
tadīyābhyām
tadīyaiḥ
tadīyāya
tadīyābhyām
tadīyebhyaḥ
tadīyāt
tadīyābhyām
tadīyebhyaḥ
tadīyasya
tadīyayoḥ
tadīyānām
tadīye
tadīyayoḥ
tadīyeṣu
tathā
sa
tadā
na
iti
tataḥ
evaṃ
sati
bhavatīti
---
yā
tato
punaḥ
yo
tataśca
kasmāt
tata
'pi
'py
eṣa
tad
tv
kecid
kecin
hy
khi
syāc
yāman
sam
ma
yad
kha
